Bitrix ID,Название сайта,Бренд,1С-код,1С-Артикул,1С-Наименование,signature,brand_ok,confidence,method,1С-код(было Cursor),сравнение,queue_status,review_required,selection_rule_version
754,"Аккумулятор CSB GP1272 F2 (AGM, 7Ah)",,КА-00001364,,"Аккумулятор CSB GP 1272 F2 (12V/7,2Ah) Китай",CSBGP1272F2,yes,0.95,sig+brand,КА-00001276,differ,review_candidate,yes,rb-1c-review-v1
1400,"Аккумулятор Delta DT 401 (AGM, 1Ah)",,ФР-00002172,,Аккумуляторная батарея Delta DT 401,DELTADT401,yes,0.95,sig+brand,ФР-00002172,agree,review_candidate,yes,rb-1c-review-v1
1401,"Аккумулятор Delta DT 12012 (AGM, 1.2Ah)",,ФР-00000005,DT12012,"Аккумуляторная батарея Delta DT12012 12В 1,2Ач  Страна ввоза: РФ, Страна изготовитель: Китай.",DELTADT12012,yes,0.95,sig+brand,ФР-00000005,agree,review_candidate,yes,rb-1c-review-v1
1404,"Аккумулятор Delta DTM 6012 (AGM, 1.2Ah)",,КА-00005764,,Аккумуляторная батарея DTM 6012 Delta,DTM6012,yes,0.95,sig+brand,КА-00005764,agree,review_candidate,yes,rb-1c-review-v1
1409,"Аккумулятор Casil CA 1213 (AGM, 1.3Ah)",,КА-00003442,,АККУМУЛЯТОР CASIL CA1213 12V 1.3Ah,CASILCA1213,yes,0.95,sig+brand,КА-00003442,agree,review_candidate,yes,rb-1c-review-v1
1415,"Аккумулятор Ventura GP 12-1.3 (AGM, 1.3Ah)",,КА-00002695,Р3.2.52.73.,"Аккумулятор Ventura GP 12-1.3, ВЬЕТНАМ",VENTURAGP121,yes,0.95,sig+brand,КА-00002695,agree,review_candidate,yes,rb-1c-review-v1
1417,"Аккумулятор Delta DT 6015 (AGM, 1.5Ah)",,ФР-00000029,0001\А3,"Аккумуляторная батарея Delta DT 6015 6В, 1,5Ач Страна ввоза: РФ, Страна изготовитель: Гонконг.",DELTADT6015,yes,0.95,sig+brand,КА-00002041,differ,review_candidate,yes,rb-1c-review-v1
1419,"Аккумулятор Delta DT 12100 (AGM, 100Ah)",,ФР-00000106,,Аккумуляторная батарея Delta DT 12100 12В 100Ач,DELTADT12100,yes,0.95,sig+brand,ФР-00000106,agree,review_candidate,yes,rb-1c-review-v1
1430,"Аккумулятор Fiamm 6SLA100 (AGM, 100Ah)",,КА-00004114,,Аккумулятор Fiamm 6SLA100 /Китай/,FIAMM6SLA100,yes,0.95,sig+brand,КА-00004114,agree,review_candidate,yes,rb-1c-review-v1
1438,"Аккумулятор Ventura GPL 12-100 (AGM, 100Ah)",,КА-00001368,,"Аккумулятор Ventura GPL 12-100 (12-100Ah), ВЬЕТНАМ",VENTURAGPL12100,yes,0.95,sig+brand,КА-00000023,differ,review_candidate,yes,rb-1c-review-v1
